employee_id,first_name,last_name,date_of_birth,gender,hire_date,department_id,position_id,salary,manager
27,Adrian,Patel,10/02/1986,M,09/10/2008,8,12,21324,0
28,Edward,Hughes,09/02/1965,M,30/05/2019,3,18,38942,0
29,Jennifer,Wilson,15/11/1963,F,02/05/1999,3,8,40800,1
30,Brooklynn,Kelly,27/03/1981,F,12/11/2014,5,1,20622,0
31,Charlotte,Miller,10/05/1991,F,05/02/2011,4,9,35501,0
32,Cayden,Hall,14/03/1981,M,18/10/2010,2,5,14472,0
33,Josephine,Hill,22/12/1977,F,14/04/2019,6,7,17863,0
34,Ezekiel,Martinez,26/04/1986,M,26/03/2004,6,23,45604,1
35,Emily,Harris,09/02/1967,F,22/01/2012,1,23,45949,1
36,Carter,Wilson,26/01/1992,M,27/06/2019,8,4,40341,1
37,Kinsley,Ramirez,31/08/1992,F,23/01/2000,5,10,33477,0
38,Vincent,Wright,21/03/1989,M,05/04/2003,7,3,40456,1
39,Camila,Wood,06/02/1988,F,06/07/2003,2,19,23306,0
40,Isabella,Ramirez,23/10/1971,F,19/10/2001,6,4,30127,0
41,Kendall,Cook,16/12/1976,F,16/11/2001,4,5,26411,0
42,Londyn,Sanchez,09/04/1997,F,05/03/2000,7,5,34815,0
43,Rose,Brines,21/09/1998,F,29/01/2012,3,4,18281,0
44,Bryan,Anderson,02/03/1996,M,09/09/2022,4,13,14642,0
45,Ariana,Long,08/08/1987,F,19/11/2023,5,7,26835,0
46,Nicholas,Thomas,07/07/1966,M,24/07/2023,6,23,30656,0
47,Aidan,Wright,07/01/1996,M,21/12/2016,1,8,33864,0
48,Aurora,Sanchez,07/02/1967,F,22/10/2000,2,5,32324,0
49,Izabella,White,16/01/1986,F,06/08/2016,5,6,39636,0
50,Harper,Edwards,09/11/1985,F,20/06/2020,1,23,45775,1
51,Maxwell,Reed,27/07/1976,M,14/01/2023,6,20,45610,1
52,Evelyn,Anderson,11/06/1997,F,14/06/2004,5,10,34919,0
53,Cayden,Lopez,18/03/1966,M,17/05/2011,7,7,38428,0
54,Wesley,Ramos,18/10/1967,M,22/09/2005,6,14,49626,1
55,Taylor,Reed,25/03/1993,F,03/02/2002,7,16,13049,0
56,Rose,Jones,01/05/1980,F,04/05/2006,5,24,44338,1
57,Carson,Jackson,04/02/1993,M,17/03/2023,3,6,45556,1
58,Oliver,Smith,03/03/1991,M,25/03/2010,7,9,35927,0
59,Kaitlyn,Ramirez,16/08/1978,F,02/06/2008,7,1,38938,0
60,Ellie,Miller,16/12/1993,F,24/12/2016,5,10,38007,0
61,Alexandra,Rodriguez,30/07/1995,F,22/09/2001,3,11,42007,1
62,Colton,Long,11/09/1978,M,24/11/2018,1,18,28234,0
63,Angelina,Lewis,31/05/1982,F,20/12/2005,6,20,16201,0
64,Lincoln,Gonzales,02/08/1983,M,28/08/2022,6,15,13810,0
65,Sean,Ruiz,11/09/1984,M,03/07/2004,6,18,46802,1
66,Jeremy,Price,18/08/1981,M,13/07/2016,2,21,35686,0
67,Angel,Garcia,20/07/1993,M,17/04/2004,1,16,49396,1
68,Katherine,Edwards,22/09/1963,F,19/12/2011,3,9,20356,0
69,Taylor,Foster,27/10/1982,F,14/11/2012,8,9,34774,0
70,Autumn,Cruz,07/09/1998,F,09/07/2009,6,3,40144,1
71,Kinsley,Martinez,17/05/1982,F,04/01/2009,3,10,13383,0
72,Christian,Ruiz,25/11/1978,M,26/08/2018,7,13,15413,0
73,William,Jimenez,18/06/1966,M,26/03/2016,1,24,29878,0
74,Camden,Ramos,07/05/1979,M,03/01/2007,6,10,34788,0
75,Brantley,Cruz,12/03/1983,M,16/06/2000,1,9,16753,0
76,Lucy,Lopez,21/05/1980,F,12/10/2005,7,6,22582,0
77,Malachi,Long,21/09/1977,M,05/10/2022,2,2,30953,0
78,Isla,Watson,15/01/1986,F,08/08/2012,2,8,48322,1
79,Mackenzie,Gray,23/09/1981,F,24/07/2002,4,4,13302,0
80,Liam,Cruz,22/03/1964,M,02/11/2005,2,17,26649,0
81,Connor,Howard,18/04/1977,M,20/04/2003,3,1,41685,1
82,Nathan,Edwards,25/06/1992,M,17/06/2004,1,24,23595,0
83,Brayden,Campbell,24/06/1965,M,25/11/2009,7,20,32368,0
84,Izabella,Williams,04/09/1960,F,20/08/1999,7,13,36521,0
85,Aaliyah,Harris,13/09/1968,F,12/07/2012,6,24,27168,0
86,Samantha,Adams,10/02/1983,F,15/06/2007,7,17,20550,0
87,Zachary,Kelly,23/11/1983,M,12/06/2008,6,23,35577,0
88,Gael,Collins,29/07/1992,M,05/11/2010,8,23,23799,0
89,Bailey,Reyes,23/10/1983,F,19/12/2011,5,7,46421,1
90,Madison,Cox,25/06/1988,F,12/04/2020,7,17,47843,1
91,Dylan,Robinson,28/04/1970,M,16/04/2005,4,8,30832,0
92,Dominic,Cooper,09/05/1970,M,04/10/2009,7,12,21534,0
93,Stella,Lopez,10/05/1974,F,14/01/2007,4,6,28675,0
94,Alexa,Baker,02/03/1978,F,16/12/2008,1,15,25264,0
95,Tucker,Ross,06/11/1971,M,10/10/2006,7,7,16056,0
96,Eliana,Moore,17/11/1960,F,01/11/2019,7,21,34544,0
97,Faith,Ramos,03/03/1967,F,19/03/2008,3,19,30361,0
98,Wyatt,Lee,19/06/1984,M,13/04/2002,7,24,37933,0
99,Brayden,Reyes,26/06/1996,M,12/05/2015,2,14,43524,1
100,Alexander,Clark,11/09/1965,M,24/11/1999,2,11,47226,1
101,Kyle,Bailey,03/10/1979,M,22/07/2010,3,1,38196,0
102,Rachel,Diaz,15/01/1965,F,29/12/2016,5,9,38119,0
103,Jude,Thomas,24/10/1965,M,22/10/2023,1,21,41255,1
104,Katelyn,Smith,02/01/1978,F,05/10/2010,4,10,39041,0
105,Madelyn,Gomez,07/08/1975,F,16/01/2007,6,1,45209,1
106,Emery,James,12/05/1964,F,04/03/2019,1,24,46178,1
107,Valentina,Carter,02/12/1966,F,04/04/1999,7,3,12873,0
108,Justin,James,30/12/1995,M,22/02/2023,5,4,33555,0
109,Mackenzie,Morris,21/10/1992,F,04/02/2007,1,16,25689,0
110,Lyla,Walker,04/12/1988,F,21/02/2007,6,18,33367,0
111,Reese,Perez,08/05/1983,F,11/05/2022,1,22,14522,0
112,Madison,Lewis,19/01/1967,F,07/10/2016,8,3,35210,0
113,Sarah,Edwards,16/05/1986,F,04/01/2000,5,19,26790,0
114,Londyn,Hall,08/08/1980,F,31/01/1999,7,11,20660,0
115,Luca,Cooper,16/07/1973,M,07/09/2019,2,17,49462,1
116,Gabrielle,Wright,15/03/1996,F,18/09/2010,5,14,47891,1
117,Mckenzie,Diaz,24/04/1977,F,06/08/2015,6,15,33920,0
118,Justin,Myers,23/01/1979,M,15/09/2023,4,3,21356,0
119,Stella,Bailey,28/03/1997,F,16/12/2005,3,12,36644,0
120,Harmony,Hill,06/04/1987,F,06/09/2014,1,16,48356,1
121,Theodore,Diaz,08/07/1978,M,20/07/2023,4,2,33350,0
122,Juan,Scott,05/09/1989,M,22/12/2018,3,3,34030,0
123,Riley,Cox,06/11/1997,F,12/06/2012,8,4,16467,0
124,Jeremy,Hall,12/04/1984,M,14/09/2021,8,9,37184,0
125,Lyla,Thomas,03/07/1973,F,23/03/2004,6,22,49812,1
126,David,Kelly,23/08/1995,M,23/06/2021,6,8,38067,0
127,Emmanuel,Diaz,12/06/1978,M,19/09/2022,2,13,33181,0
128,Everly,Robinson,28/03/1986,F,19/05/2012,8,15,24798,0
129,Maxwell,Bennet,29/03/1989,M,01/03/2009,7,1,47086,1
130,Madelyn,Ramirez,03/11/1997,F,09/01/2009,8,21,21561,0
131,Ximena,Miller,05/09/1994,F,02/07/2000,7,17,30594,0
132,Ezra,Brines,15/12/1961,M,23/11/2002,6,16,27060,0
133,Kendall,Jones,18/02/1962,F,01/11/2022,2,2,18341,0
134,Jack,Johnson,10/06/1966,M,08/04/2001,5,5,18270,0
135,Bryan,Cooper,27/03/1967,M,31/08/2015,3,10,41590,1
136,Athena,Ward,08/03/1983,F,05/06/2016,2,5,18381,0
137,Camila,Jackson,27/08/1998,F,26/05/2021,5,13,41626,1
138,Xavier,Ross,23/12/1971,M,03/11/2009,6,14,48555,1
139,Julianna,Brown,16/02/1977,F,04/10/2021,8,3,39385,0
140,Gabrielle,Miller,07/02/1997,F,06/11/2003,8,17,43306,1
141,Summer,Cruz,04/10/1974,F,02/08/2007,2,24,43589,1
142,Madeline,Harris,30/10/1976,F,29/04/2002,7,22,28739,0
143,Maddox,Brown,15/04/1963,M,06/01/2004,5,21,19761,0
144,Victoria,Ramirez,24/12/1998,F,21/04/2018,3,1,14361,0
145,Liliana,James,01/08/1995,F,16/02/2013,4,17,36710,0
146,Jeremiah,Torres,09/08/1971,M,27/03/2020,4,18,41439,1
147,Adalyn,Hughes,07/12/1997,F,23/09/2004,6,22,39650,0
148,George,Williams,25/05/1982,M,22/10/2004,5,9,15444,0
149,Adalyn,Collins,13/02/1982,F,20/12/2017,5,18,25942,0
150,Max,Chavez,21/11/1972,M,19/09/2003,1,24,18082,0
151,Jackson,Peterson,03/01/1983,M,26/05/2002,3,2,30854,0
152,Camden,Thompson,30/10/1967,M,15/09/2020,7,4,22632,0
153,Dylan,James,28/11/1981,M,18/03/2009,8,20,49910,1
154,Destiny,Roberts,19/07/1984,F,16/08/2016,3,9,41225,1
155,Theodore,Baker,20/12/1984,M,07/03/2007,4,11,31238,0
156,Caroline,Ortiz,02/09/1974,F,12/08/2011,1,3,27601,0
157,Willow,James,01/10/1966,F,29/04/2004,5,1,16148,0
158,John,Howard,23/03/1992,M,17/04/2018,7,9,18245,0
159,Addison,Anderson,11/03/1992,F,03/11/2022,2,12,16147,0
160,Levi,Miller,01/07/1982,M,28/04/2005,2,21,48277,1
161,Khloe,Adams,13/09/1984,F,17/01/2007,2,15,35744,0
162,Scarlett,Young,06/12/1984,F,23/09/2014,7,17,46288,1
163,Eric,Cruz,19/11/1992,M,29/08/2000,5,10,44008,1
164,Robert,Stewart,09/08/1979,M,09/05/2005,7,11,28444,0
165,Camden,Cook,08/09/1997,M,22/09/2001,2,16,38689,0
166,King,Sanchez,30/12/1962,M,29/12/2016,8,2,14695,0
167,Giovanni,Carter,29/08/1971,M,22/05/2019,1,15,35032,0
168,Jordyn,Lee,18/12/1972,F,20/11/2006,2,2,30947,0
169,Alejandro,Adams,22/06/1996,M,25/04/2004,4,9,24844,0
170,Sebastian,Ortiz,23/06/1973,M,25/06/2010,7,23,36329,0
171,Brooklyn,Torres,12/04/1981,F,17/10/2011,4,1,40391,1
172,Ezra,Reed,03/12/1968,M,30/06/2004,4,16,13734,0
173,Emmett,Rodriguez,23/01/1967,M,07/01/2014,8,6,13042,0
174,Ryleigh,Smith,15/09/1989,F,20/05/1999,4,13,39123,0
175,Asher,Williams,05/01/1975,M,23/02/2020,3,2,35530,0
176,Ian,Moore,02/10/1974,M,02/02/2013,3,23,39086,0
177,Sara,Johnson,15/11/1990,F,08/11/2006,1,1,32923,0
178,Willow,Campbell,02/02/1963,F,10/09/2015,8,12,37609,0
179,Sophia,Martin,30/04/1973,F,01/08/2022,5,2,17511,0
180,Ayden,Edwards,05/12/1990,M,24/05/2017,4,8,48407,1
181,Steven,Anderson,16/03/1971,M,08/01/2007,8,22,44773,1
182,Richard,Myers,18/09/1989,M,07/07/2008,5,17,39214,0
183,Jack,Chavez,19/01/1996,M,19/07/2007,6,19,12690,0
184,Aidan,Cruz,18/10/1962,M,18/01/2003,3,2,22468,0
185,Landon,Rodriguez,15/04/1984,M,17/05/2001,5,15,38546,0
186,Kendall,Davis,23/11/1995,F,27/11/2021,6,19,15565,0
187,Camden,Reyes,09/11/1974,M,09/05/2017,3,5,39546,0
188,Margaret,Gomez,10/03/1992,F,19/11/2021,6,9,28586,0
189,Caleb,Gray,19/03/1980,M,19/11/2012,6,19,29867,0
190,Victor,Wood,18/12/1972,M,05/01/2005,6,6,47409,1
191,Paul,Cox,15/05/1991,M,09/07/2022,3,5,17206,0
192,Rebecca,Morales,20/01/1986,F,06/09/2023,2,5,19365,0
193,Owen,Cook,22/03/1992,M,03/01/2018,7,1,34954,0
194,Bella,Rivera,21/10/1982,F,22/01/2016,1,18,46537,1
195,Jacob,White,30/04/1993,M,10/12/2001,5,6,24834,0
196,Maximus,Martinez,08/10/1985,M,13/04/2007,2,19,28737,0
197,Jessica,Alvarez,22/12/1972,F,05/04/2008,3,4,40182,1
198,Cameron,Green,27/09/1978,M,24/01/2022,7,6,21200,0
199,Sadie,Price,11/10/1981,F,18/03/1999,2,12,25425,0
200,Andrew,Rodriguez,16/01/1971,M,09/02/2004,7,6,43348,1
201,Amy,Harris,12/09/1970,F,12/02/2016,3,18,19184,0
202,Anna,Taylor,11/09/1978,F,26/09/2020,3,12,20418,0
203,William,Bennet,22/08/1973,M,30/10/2007,1,14,23787,0
204,Sara,Morris,22/02/1976,F,09/07/2013,8,23,18464,0
205,Chase,Morgan,03/11/1992,M,09/10/2017,1,1,40797,1
206,Hailey,Bailey,18/08/1994,F,24/08/2006,2,10,20473,0
207,Everett,Brooks,15/09/1982,M,23/07/2006,1,11,13655,0
208,Jesse,Collins,22/10/1978,M,23/06/2010,6,16,37509,0
209,Ryleigh,Parker,16/02/1988,F,25/11/2011,1,4,40036,1
210,Daisy,Carter,29/06/1995,F,20/09/2021,4,12,35474,0
211,Maxwell,Allen,27/09/1974,M,06/05/2013,7,3,18917,0
212,Emilia,Nelson,26/10/1971,F,30/03/1999,6,9,36122,0
213,Faith,Kelly,02/02/1972,F,05/08/1999,7,5,24184,0
214,Brooke,Richardson,29/01/1965,F,29/11/2016,8,21,20501,0
215,Ashton,Mendoza,25/09/1989,M,01/10/2010,3,17,37503,0
216,Madison,Davis,31/12/1995,F,10/08/1999,1,14,16001,0
217,David,Moore,15/03/1984,M,07/02/2019,1,19,25131,0
218,Gabriella,James,10/01/1970,F,20/08/2012,7,14,23661,0
219,Delilah,Gutierrez,19/01/1968,F,07/05/2013,5,20,36056,0
220,Xavier,Martin,29/05/1978,M,16/04/2005,5,16,41138,1
221,Quinn,Torres,27/05/1997,F,15/12/2010,6,5,40598,1
222,Mariah,Hall,09/12/1965,F,02/04/2003,2,14,36815,0
223,Lincoln,Sanders,09/02/1961,M,25/07/2010,3,20,16064,0
224,Giovanni,Long,26/08/1993,M,28/04/2004,7,2,13960,0
225,Arianna,Morgan,14/05/1961,F,05/08/2010,7,21,43733,1
226,Arianna,Richardson,28/12/1980,F,30/09/2020,2,1,27859,0
227,Skylar,Castillo,24/10/1996,F,22/06/2012,7,10,26927,0
228,Kinsley,Cox,02/12/1998,F,12/05/2015,8,12,13477,0
229,Clara,Wilson,18/12/1998,F,14/02/2013,4,17,37079,0
230,David,Allen,03/07/1984,M,25/06/2017,1,8,36762,0
231,Rylee,King,25/12/1970,F,11/01/2003,6,16,27451,0
232,Kinsley,Parker,21/03/1992,F,28/07/2003,6,6,48296,1
233,Oscar,Brown,15/06/1998,M,12/12/2014,5,18,16893,0
234,Mia,Jones,26/08/1968,F,02/03/2003,2,5,40572,1
235,Mackenzie,Parker,06/01/1987,F,16/09/2012,2,13,46787,1
236,Anthony,Diaz,26/08/1986,M,08/06/2015,4,16,24896,0
237,Jaxson,Chavez,11/08/1996,M,30/08/2013,2,5,26760,0
238,Adriana,Phillips,15/11/1980,F,23/08/2011,1,21,38844,0
239,Charles,Baker,12/05/1971,M,02/03/2001,1,1,36473,0
240,Victor,Patel,14/06/1991,M,25/08/2005,7,13,29026,0
241,Aidan,Harris,02/04/1981,M,14/02/2011,8,1,12159,0
242,Jordan,Gutierrez,12/12/1975,M,18/03/2017,7,19,44998,1
243,Makenzie,Morales,16/06/1984,F,13/12/1999,3,13,46431,1
244,Zoey,Nguyen,18/12/1985,F,13/06/2015,1,4,40403,1
245,Caden,Hughes,18/06/1994,M,05/09/2007,8,24,34461,0
246,Ariana,Garcia,04/10/1972,F,29/11/2019,2,2,25768,0
247,Leilani,Myers,10/07/1990,F,08/07/2009,8,18,39496,0
248,Timothy,Moore,25/06/1982,M,22/04/2013,7,13,14704,0
249,Nicholas,Adams,14/01/1970,M,11/08/2011,1,3,46878,1
250,Margaret,Scott,19/01/1991,F,18/06/2020,8,16,37773,0
251,Wyatt,Lee,24/07/1976,M,20/11/2016,4,6,23154,0
252,Cole,Moore,31/05/1988,M,22/08/2003,5,22,32266,0
253,Elena,Turner,11/05/1992,F,17/08/2007,1,15,39620,0
254,Alana,Clark,04/06/1977,F,06/04/2001,7,21,21661,0
255,Jennifer,Miller,19/12/1994,F,28/02/2007,5,20,32272,0
256,Mya,Perez,10/03/1978,F,22/02/1999,2,12,40348,1
257,Cooper,Torres,28/10/1993,M,17/01/2018,4,6,41174,1
258,Jordyn,Lewis,05/12/1965,F,23/05/2010,4,21,40475,1
259,Carson,Long,10/12/1970,M,29/11/2002,3,18,47316,1
260,Hannah,Smith,09/03/1977,F,04/03/2009,1,5,35404,0
261,Andrew,Miller,28/03/1991,M,16/12/2005,4,5,44709,1
262,Jaxon,Nelson,30/01/1961,M,15/09/2006,5,7,42464,1
263,Hayden,Thomas,30/01/1970,M,13/07/2010,6,11,16931,0
264,Mia,Anderson,01/09/1990,F,30/08/2005,5,16,47564,1
265,Jonathan,Thomas,29/04/1974,M,16/04/2015,7,15,29229,0
266,Colin,Young,08/01/1987,M,07/04/2008,5,18,18671,0
267,Kaleb,Turner,06/09/1990,M,18/11/2007,5,13,47453,1
268,Edward,Stewart,20/09/1978,M,27/12/2021,2,19,40386,1
269,Lauren,Sanders,20/10/1974,F,13/05/2013,3,4,35533,0
270,Kayden,Ortiz,04/04/1963,M,19/01/2001,6,14,33595,0
271,Kayla,Price,30/06/1978,F,12/02/2022,6,16,16781,0
272,Steven,Turner,11/01/1986,M,20/01/2005,8,8,32938,0
273,Jack,Adams,01/09/1968,M,10/06/2012,5,7,44028,1
274,Aaron,Sanchez,02/02/1983,M,09/02/2008,6,2,29326,0
275,Jade,Carter,05/04/1962,F,26/04/2007,5,4,23126,0
276,Layla,Smith,03/01/1968,F,26/10/2007,3,22,14238,0
277,Avery,Reed,27/11/1987,F,06/09/2021,3,6,31578,0
278,Vanessa,Phillips,01/09/1985,F,18/07/2019,4,15,34143,0
279,Richard,Kelly,16/06/1963,M,21/03/2000,3,18,19927,0
280,Valentina,Lee,16/07/1993,F,03/03/2006,4,12,36443,0
281,Samuel,Robinson,07/03/1989,M,14/10/2011,3,16,27864,0
282,Giovanni,Mitchell,15/11/1970,M,14/06/2020,7,7,16522,0
283,Marcus,Patel,13/01/1963,M,15/12/2020,7,18,33808,0
284,Maddox,Anderson,13/06/1964,M,19/09/1999,5,24,40810,1
285,Kayla,James,18/12/1980,F,14/01/1999,8,12,38310,0
286,Lyla,Ramos,01/03/1989,F,18/05/2021,3,9,32276,0
287,Nathan,Morgan,01/04/1960,M,05/12/2012,2,3,47028,1
288,Zoey,Ross,19/06/1972,F,03/07/2014,5,1,32136,0
289,Stephanie,Green,24/05/1990,F,07/10/1999,5,6,45874,1
290,Gianna,Williams,06/11/1972,F,30/09/2010,3,20,49040,1
291,Emma,Hall,25/06/1978,F,03/10/2005,7,12,40389,1
292,Stella,Thomas,26/02/1994,F,25/10/2001,4,21,31559,0
293,Jesus,Parker,04/06/1982,M,21/06/2014,8,17,48967,1
294,Gael,Roberts,06/11/1980,M,08/03/2008,4,11,26012,0
295,Allison,Roberts,21/08/1971,F,21/11/2017,1,13,45005,1
296,Norah,Morris,06/02/1974,F,18/09/2006,7,6,40946,1
297,Xavier,Ward,06/10/1998,M,26/02/2001,4,24,18350,0
298,Addison,Walker,24/01/1972,F,25/07/2017,8,12,25413,0
299,Christian,Clark,19/08/1995,M,13/03/2004,8,6,38832,0
300,Hunter,Cooper,26/09/1964,M,15/01/2012,5,21,36104,0
301,Elias,Peterson,16/05/1988,M,17/07/2013,5,20,48554,1
302,George,Ross,10/12/1993,M,21/06/2017,1,9,27158,0
303,Sebastian,Martinez,06/03/1974,M,23/07/2011,2,6,30297,0
304,Anna,Bennet,12/01/1988,F,27/07/2001,6,22,17887,0
305,Peyton,Martinez,06/10/1967,F,15/02/2023,8,22,24487,0
306,Lucy,Ruiz,27/12/1991,F,15/11/2015,2,7,33628,0
307,Elise,Diaz,01/04/1970,F,05/02/2012,8,1,41938,1
308,Justin,Smith,15/08/1996,M,27/04/2008,6,17,46745,1
309,Olivia,Ramirez,28/04/1962,F,17/05/2009,8,1,40126,1
310,Edward,Castillo,19/02/1994,M,15/03/2016,6,3,19372,0
311,Diego,Moore,11/12/1981,M,01/03/2009,5,22,27825,0
312,Kimberly,Hill,06/06/1986,F,14/01/2005,2,11,32682,0
313,Willow,Garcia,18/12/1985,F,07/02/2012,6,20,35525,0
314,Xavier,Smith,12/02/1992,M,07/08/2011,6,13,15930,0
315,Ian,Perez,02/10/1962,M,27/07/2013,4,2,22701,0
316,Gavin,Diaz,30/01/1962,M,18/11/2022,7,23,40833,1
317,Angel,Harris,27/07/1989,M,01/04/2005,2,12,36217,0
318,Josiah,Parker,09/11/1985,M,19/05/2013,7,18,15710,0
319,Isabelle,Bailey,11/05/1963,F,27/12/2000,1,8,27640,0
320,Jennifer,Reed,21/04/1978,F,09/11/1999,8,4,37655,0
321,Hunter,Parker,20/11/1973,M,07/08/2019,8,9,45293,1
322,Kaden,Taylor,17/06/1968,M,14/02/2020,2,22,15197,0
323,Jason,Miller,26/01/1981,M,15/06/2002,7,14,46658,1
324,Jaxon,Johnson,04/11/1981,M,21/02/2013,4,14,14313,0
325,Jacob,Lee,21/02/1979,M,25/03/2002,6,8,47573,1
326,Emery,Castillo,28/09/1982,F,11/02/2015,2,18,34138,0
327,Kaylee,Garcia,20/03/1991,F,13/10/2017,5,21,13545,0
328,Emmett,Carter,01/08/1983,M,22/07/2007,6,9,32711,0
329,Josephine,Price,17/05/1961,F,16/05/2009,1,10,12617,0
330,Luke,Clark,18/08/1997,M,05/12/2005,8,17,17121,0
331,Jade,Patel,02/12/1988,F,24/04/2015,5,3,38566,0
332,Kingston,Garcia,27/07/1977,M,20/09/2012,8,10,30711,0
333,Gael,Alvarez,05/08/1985,M,23/12/2001,8,7,30371,0
334,Theodore,Perez,25/09/1964,M,06/12/2002,5,20,36539,0
335,Cooper,Perez,11/07/1976,M,30/08/2020,7,4,22691,0
336,Harrison,Cook,03/05/1976,M,18/07/2013,6,22,20316,0
337,Aurora,Phillips,25/04/1965,F,13/02/2023,7,24,41373,1
338,Patrick,Collins,31/03/1967,M,18/08/2001,3,11,18599,0
339,Sophia,Kim,15/12/1984,F,20/09/2017,4,8,21979,0
340,Jude,Lee,16/07/1991,M,25/11/2014,2,9,47796,1
341,Paul,Lopez,22/08/1962,M,03/08/2010,7,3,40687,1
342,Damian,Morgan,17/05/1988,M,08/12/2003,7,12,47886,1
343,Jayla,Johnson,25/09/1969,F,31/08/2018,6,19,30595,0
344,Caden,Brines,02/09/1968,M,12/12/2019,2,6,38663,0
345,Andrea,Lopez,02/01/1991,F,15/05/2012,5,23,49257,1
346,Hadley,Lee,19/11/1969,F,23/06/2013,4,22,27199,0
347,Jayce,Ruiz,13/04/1972,M,09/05/2015,4,20,35961,0
348,Violet,Lewis,11/02/1971,F,06/08/2003,4,22,48109,1
349,Anthony,Robinson,16/06/1984,M,10/08/2022,1,23,14104,0
350,Hayden,Stewart,04/06/1989,M,05/05/2013,2,10,44223,1
351,Jayla,Reyes,05/06/1971,F,27/11/2022,7,20,29151,0
352,Melody,Robinson,08/02/1976,F,20/03/2009,4,21,31740,0
353,Samuel,Jimenez,10/08/1973,M,15/07/2006,1,20,45583,1
354,Caden,Rogers,27/08/1979,M,16/11/2020,2,23,13363,0
355,Carlos,Myers,23/10/1979,M,20/08/2002,7,15,48599,1
356,Maxwell,Brown,18/03/1965,M,20/02/2005,7,12,36657,0
357,Katherine,Lopez,16/06/1960,F,14/05/2023,1,11,19576,0
358,Josiah,Ward,02/08/1994,M,17/10/2021,8,3,43275,1
359,Julian,Long,25/09/1975,M,23/09/2022,2,10,37472,0
360,Penelope,Allen,30/04/1981,F,03/12/2021,2,17,39465,0
361,Jade,Bennet,06/01/1963,F,11/03/2007,6,15,32770,0
362,Elijah,Williams,06/05/1974,M,21/11/2016,1,9,38609,0
363,Ryleigh,King,26/11/1979,F,15/01/2016,1,21,36103,0
364,Autumn,Brooks,27/01/1965,F,19/02/2005,2,10,27708,0
365,Ezekiel,Walker,13/07/1962,M,05/11/2014,8,2,12126,0
366,Brooklyn,Rogers,25/06/1983,F,29/03/2007,6,21,23412,0
367,Genesis,Perez,30/03/1986,F,30/03/2016,7,3,39761,0
368,Mark,Rodriguez,17/02/1987,M,28/10/2019,3,22,47732,1
369,Jesus,Hughes,28/10/1973,M,01/12/2000,2,1,19441,0
370,Kaleb,Gray,17/10/1981,M,27/12/2015,4,10,15130,0
371,Dominic,Garcia,26/02/1996,M,28/11/2014,1,18,28138,0
372,Ezekiel,Foster,18/11/1980,M,21/03/2007,1,8,45529,1
373,Luna,Turner,08/06/1975,F,23/04/2021,1,13,45625,1
374,Noah,Carter,15/08/1977,M,04/04/2004,2,15,16930,0
375,Emily,Diaz,10/09/1993,F,09/11/2023,3,4,21506,0
376,Kaylee,Cooper,06/08/1982,F,10/11/2008,8,13,42202,1
377,Kaleb,Price,03/04/1974,M,13/08/2014,3,19,13452,0
378,Jaxson,Gomez,09/04/1978,M,02/05/2018,7,11,29072,0
379,Abraham,King,03/03/1966,M,13/03/2000,8,17,29297,0
380,Ian,Robinson,04/11/1982,M,10/11/2023,3,12,25357,0
381,Gabriel,Jimenez,28/01/1998,M,15/11/1999,8,5,26709,0
382,Genesis,Gomez,12/03/1989,F,20/10/2009,6,22,37774,0
